"SourceUrl","SourcePath","FinalUrl","Status","ContentType","Title","H1","SourceType","CrawlAction","NewAction","NewTarget","Bucket","Note"
"https://www.arctic-spas.cz/virivka-cub.php","/virivka-cub.php","https://www.arctic-spas.cz/virivka-cub.php","200","text/html","Vířivka Cub - Arctic Spas - řada Custom","Venkovní vířivka Cub","product_hot_tub","migrate_product","migrate_product","/product/cub/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-eagle.php","/virivka-eagle.php","https://www.arctic-spas.cz/virivka-eagle.php","200","text/html","Vířivka Eagle - Arctic Spas - řada Classic","Venkovní vířivka Eagle","product_hot_tub","migrate_product","migrate_product","/product/eagle/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-ellesmere.php","/virivka-ellesmere.php","https://www.arctic-spas.cz/arctic-virivky.php#core","200","text/html","Venkovní vířivky Arctic Spas","Venkovní vířivky Arctic Spas","retired","redirect_only","redirect_retired","/virivky/","retired_product","Retired product; do not create an active product page."
"https://www.arctic-spas.cz/virivka-fox.php","/virivka-fox.php","https://www.arctic-spas.cz/virivka-fox.php","200","text/html","Vířivka Arctic Fox - Arctic Spas - řada Custom","Venkovní vířivka Arctic Fox","product_hot_tub","migrate_product","migrate_product","/product/fox/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-frontier.php","/virivka-frontier.php","https://www.arctic-spas.cz/virivka-frontier.php","200","text/html","Venkovní vířivky Arctic Spas","Venkovní vířivky Arctic Spas","content_page","review_migrate_page","redirect_consolidated","/virivky/","content_redirect","Consolidated into an existing Figma page or product/category page."
"https://www.arctic-spas.cz/virivka-grizzly.php","/virivka-grizzly.php","https://www.arctic-spas.cz/arctic-virivky.php#core","200","text/html","Venkovní vířivky Arctic Spas","Venkovní vířivky Arctic Spas","retired","redirect_only","redirect_retired","/virivky/","retired_product","Retired product; do not create an active product page."
"https://www.arctic-spas.cz/virivka-husky.php","/virivka-husky.php","https://www.arctic-spas.cz/virivka-husky.php","200","text/html","Vířivka Husky - Arctic Spas - řada Core","Venkovní vířivka Husky","product_hot_tub","migrate_product","migrate_product","/product/husky/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-klondiker.php","/virivka-klondiker.php","https://www.arctic-spas.cz/virivka-klondiker.php","200","text/html","Vířivka Klondiker - Arctic Spas - řada Custom","Venkovní vířivka Klondiker","product_hot_tub","migrate_product","migrate_product","/product/klondiker/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-kodiak.php","/virivka-kodiak.php","https://www.arctic-spas.cz/virivka-kodiak.php","200","text/html","Vířivka Kodiak - Arctic Spas - řada Custom","Venkovní vířivka Kodiak","product_hot_tub","migrate_product","migrate_product","/product/kodiak/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-lunar.php","/virivka-lunar.php","https://www.arctic-spas.cz/virivka-lunar.php","200","text/html","Vířivka Lunar - Arctic Spas - řada Core","Venkovní vířivka Lunar","product_hot_tub","migrate_product","migrate_product","/product/lunar/","product_hot_tub","Active hot tub product in the WordPress product CPT."
